"Task_ID","Date_Requested","Requested_By","Target_Role","Module_Section","Specification_Task","Implementation_Status","Git_Commit","Git_Branch","Verified_By","Implementation_Remarks"
"REV-021","2026-09-05","HonTech QA & Capstone Team","Owner & Admin","QC & Back-Jobs & Express Delays","Fix blank screen on QC & Back-Jobs tab and streamline SA Delay Reports Table without duplicate DOM elements.","Done","9e708d0","branch2-Security-Account-Recovery","Antigravity QA","Fixed stray duplicate table tags and unclosed wrappers in index.html that caused db-tab-backjobs to break; enhanced renderBackJobIntelligenceModule with robust multi-layer fallback to allJobs and analyticsJobs; auto-loads on tab switch if dataset is pending."
"REV-022","2026-09-05","HonTech QA & Capstone Team","Owner & Admin","Audit Logs & Handovers","Fix runtime exception on Audit Logs and Handovers tab caused by undefined escapeHtml and duplicate formatFieldName.","Done","4ecae8b","branch2-Security-Account-Recovery","Antigravity QA","Defined global escapeHtml and formatFieldName helpers at the top of app.js; removed duplicate function declaration; bumped script cache buster to v=5.01."
"REV-023","2026-09-05","HonTech QA & Capstone Team","All Roles","Account Profile & System-wide Identity","Make user identity display shared full names across navbar, dropdown, and job logs; add dynamic Edit Full Name capability in Account Settings.","Done","3025f03","branch2-Security-Account-Recovery","Antigravity QA","Updated database seed users to proper full names (e.g. Mark Bautista, Adrian Mendoza, Engr. Antonio Honrado); added PUT /api/auth/profile/name endpoint; added Edit Full Name modal and real-time synchronization across top header, sidebar, profile dropdown, and Account Settings cards."
"REV-024","2026-09-06","HonTech QA & Capstone Team","All Roles & TV Display","Status Workflow, TV Announcements & Dev Tools","Streamline status workflow (Waiting -> Monitoring, remove bay restrictions, preserve Monitoring on Waiting Area select, purge In Progress), implement customer-mention TV banners and voice announcements for 5 operational events, and provide dedicated TV module Developer Tools.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Eliminated In Progress from backend controllers, seeds, and frontend views. Status now defaults to Waiting and transitions to Monitoring, where bays can be assigned freely or set to Waiting Area while remaining in Monitoring. Upgraded TV notification banner and Web Speech announcements to explicitly announce customer name, vehicle, and plate across Monitoring, Bay Allocation, Ready to Release, Carry Over, and Return to Active. Added collapsible TV Developer Simulation Drawer directly on the TV Module and inside the Ctrl+D Dev Toolbox."
"REV-025","2026-09-06","HonTech QA & Capstone Team","All Roles & TV Display","TV UI & Selection Cards Design Polish","Elevate the 5 event selection controls and TV Alert HUD banner into a human-crafted, professional automotive dealership design standard.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Redesigned the 5 selection cards in the TV Dev Drawer and Ctrl+D Developer Toolbox with dark slate telemetry styling, monospace step indicators, status-themed icon badges, and concise enterprise subtitles. Replaced bouncy gradient alert banners with an authentic Philippine license plate HUD broadcast banner featuring animated audio equalizer bars, customer callouts, and location metadata pills."
"REV-033","2026-09-06","HonTech QA & Capstone Team","All Roles & TV Display","Daily Intakes Live Status & Location Announcements","Connect Daily Intakes table status dropdowns, bay location selectors, and carryover modals directly to audio chimes, voice speech TTS, and the Red-White-Red TV alert plaque.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Wired updateJobField location changes, setJobStatus transitions (Monitoring, Ready, Carry Over, Return Active), and submitCarryoverDetails to automatically trigger Web Speech voice announcements and the on-screen Red-White-Red TV notification plaque with specific vehicle model and plate details."
"REV-034","2026-09-07","HonTech QA & Capstone Team","SA & Assistant","Daily Intakes & Lane Selection","Fix Service Advisor lane selection reverting to default in Daily Intakes and Intake forms.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Directly connected Daily Intakes lane selector to handleTableLaneChange and updateJobField without blocking audit prompt; added full-spectrum normalizeLaneType mapping across backend normalization, createJob, updateJobField, and frontend table rendering to persist Express, Flexible, Special, and Priority lanes reliably."
"REV-035","2026-09-07","HonTech QA & Capstone Team","SA & Assistant","Daily Intakes & Carry-Over Restoration","Fix ReferenceError on isMonitoringOrActive blocking Daily Intakes and Carry-Over table rendering; remove redundant Search Customer / Back-Job button from Daily Intakes container.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Corrected variable reference in renderStaffTables location column to isMonitoring, restoring live records display across Daily Intakes and Carry-Over; removed extraneous Search Customer / Back-Job button from the Daily Intakes card header."
"REV-036","2026-09-07","HonTech QA & Capstone Team","All Roles (SA, Asst, Owner, Admin)","Carry-Over Board DOM Fix, Data Recovery & Alignment","Fix missing closing div tag in Daily Intakes header that nested Carry-Over container inside Daily Intakes causing innerHTML to wipe it out; recover 3 active Carry-Over records in seed; align 10 table columns with Service Advisor badge.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Corrected unclosed flex div in index.html line 2885, restoring container-carry-over as an independent sibling card in section-queue; added carry_over_status to seed schema and populated WLK-2003, WLK-2025, WLK-2026; added Service Advisor cell in app.js table-carry-over template; bumped script cache version to v=5.26."
"REV-037","2026-09-07","HonTech QA & Capstone Team","All Roles (SA, Asst, Owner, Admin)","Daily Intakes Expanded Rows & Increased Table Scroll Height","Populated 8 additional active vehicle intake records with diverse SAs, lanes, and statuses in database seed; increased Daily Intakes table scroll area from 420px to 580px to display more concurrent rows comfortably.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Added 8 realistic active intake vehicles (WLK-2027 through WLK-2034) across PMS, GRS, and Others with realistic evaluations, arrival times, and workshop bays; increased table container max-h from 420px to 580px in app.js and index.html; bumped script version to v=5.27."
"REV-038","2026-09-07","HonTech QA & Capstone Team","All Roles (Owner, Admin, SA, Assistant)","Owner & Admin Workshop Bay Capacity Authority Enforcement","Enforce Owner and Administrator authority to configure the active workshop/TV bay capacity; bind Service Advisors (SAs) strictly to the configured bay limit (1 to N) in Daily Intakes Monitoring bay allocation.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Restricted capacity configuration controls (steppers, dropdowns, presets, custom ceiling) in section-bays strictly to Owner and Administrator; added read-only Authority Bay Limit card for SAs; bounded Daily Intakes Monitoring Location dropdown dynamically to exactly Bay 1 through Bay N configured by Owner/Admin; updated TV monitor grid and bumped script version to v=5.28."
"REV-039","2026-09-07","HonTech QA & Capstone Team","Service Advisor, Owner, Admin","Service Advisor Bay Operating Rules Board & Hard Boundary Enforcement","Display comprehensive Workshop Bay Operating Rules & Policy Board for SAs in Bay Status and Daily Intakes header; enforce strict server/client boundary ensuring SAs can only choose from bays set by Owner/Admin.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Added 4-rule Workshop Bay Operating Rules & Policy Board in section-bays for SAs (Capacity Ceiling, SA Boundary, Daily Intakes Sync, Live TV Broadcast); added Authorized Bay Rule indicator pill to Daily Intakes header; added hard location validation in updateJobField and openBayAllocationModal preventing selection outside active bays; bumped script version to v=5.29."
"REV-040","2026-09-07","HonTech QA & Capstone Team","Service Advisor, Owner, Admin","SA Daily Active Bay Selection Capability within Owner/Admin Ceiling","Empower Service Advisors to choose the active workshop bay count for today (1 to N) on the module while strictly respecting and enforcing the facility ceiling set by the Owner/Admin.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Granted SAs active access to capacity controls (stepper, dropdown, quick presets, custom prompt) in section-bays; bounded all SA scaling options strictly to the Owner/Admin facility ceiling; updated Daily Intakes header and Location dropdowns to follow the SA's daily active choice; bumped script version to v=5.30."
"REV-041","2026-09-07","HonTech QA & Capstone Team","Owner, Admin, Service Advisor","Admin Full Capacity Config vs SA Single Selection Bar UI Separation","Differentiate Workshop Bay Management UI between Admin/Owner (full Floor Capacity Configuration with quick presets chips 2-20 bays and custom ceiling prompt) and Service Advisor (streamlined single Total Active Bays selection bar with stepper and dropdown 1 to N bounded by Admin).","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Created #bays-admin-control-card with full preset chips and ceiling tools for Owner/Admin, and #bays-sa-control-card with clean Total Active Bays selection bar for SA; synced buildNavbar RBAC and initWorkshopBaySettings to handle both controls; bumped script version to v=5.31."
"REV-042","2026-09-07","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Relocate Authorized Bay Rule Pill to Bay Status Module","Remove the Authorized Bay Rule pill from the Daily Intakes table header to keep Daily Intakes focused strictly on vehicle queue rows, and position the Authorized Bay Rule badge directly inside the SA's Bay Status module control card.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Purged Authorized Bay Rule pill from renderStaffTables dailyIntakesEl header; added dynamic #sa-bays-rule-pill-range and #sa-bays-rule-pill-ceiling inside #bays-sa-control-card in section-bays; updated initWorkshopBaySettings; bumped script cache version to v=5.32."
"REV-043","2026-09-07","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Purge Authorized Bay Rule Badge & Enable Visible SA Active Bay Selection Bar","Completely remove the Authorized Bay Rule badge from UI; fix hidden state and ensure #bays-sa-control-card is cleanly visible and functional for Service Advisors in Bay Status with steppers and 1 to N dropdown bounded by Admin/Owner ceiling.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Purged Authorized Bay Rule badge and #bays-sa-readonly-card completely; removed hardcoded hidden class from #bays-sa-control-card; added updateBayControlsVisibility to reliably toggle #bays-admin-control-card vs #bays-sa-control-card across buildNavbar, initWorkshopBaySettings, renderWorkshopBaysModule, and showSection; bumped script cache version to v=5.33."
"REV-044","2026-09-07","HonTech QA & Capstone Team","Owner, Admin, Service Advisor","Admin/Owner Facility Ceiling Rule Sync & SA 1-to-N Dynamic Bound Enforcement","Ensure Admin/Owner capacity selections dynamically set the facility ceiling rule (e.g. 6 bays), strictly bounding the SA's active bay selection to 1 through that ceiling (1-6 bays), with SA able to freely choose operational count within that bound without altering Admin's ceiling.","Done","Pending","branch2-Security-Account-Recovery","Antigravity QA","Updated handleWorkshopBayCountChange and setFacilityMaxBayLimit so Admin/Owner choices establish the facility ceiling (stored in hontech_max_bay_limit and defaulting to 6) while SA choices adjust hontech_workshop_bay_count bounded strictly 1 to N; updated Admin preset chips and dropdown to allow full ceiling control; updated SA dropdown and steppers to dynamically bind to ceiling; bumped script cache version to v=5.34."
"REV-045","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Excel-Style Multi-Sheet Tabs & Form 2/3 Quotation Studio","Implement Excel-style workbook bottom tab bar to switch seamlessly between Form 1/3 (Job Order) and Form 2/3 (Quotation) with 100% physical template replication, 30-row parts/labor matrix, BIR 12% VAT engine, shared customer dossier sync, and isolated single-page print engine.","Done","Pending","prototype_process","Antigravity QA","Added #form-sheet-tab-bar inside section-form13; built Form 2/3 smart editor and 1:1 physical quotation canvas matching official client template with 30-row matrix and 4 Terms & Conditions; integrated shared dossier sync between Form 1/3 and 2/3; bumped script cache version to v=5.47."
"REV-046","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Excel Workbook Sheet Tab Bar Full-Width UI Overhaul & DOM Repair","Resolve squished vertical tab button rendering by fixing unclosed 12-column grid in Form 1/3 DOM; redesign #form-sheet-tab-bar to full-width (1519px) responsive layout with whitespace-nowrap, horizontal scroll controls, jump select, and active/inactive sheet transitions.","Done","Pending","prototype_process","Antigravity QA","Fixed unclosed div hierarchy in section-form13; redesigned Excel workbook tab bar with full-width dark slate container, scroll navigation arrows, Sheet 1/2/3 tabs with whitespace-nowrap, live dossier tag, and fast-jump dropdown; upgraded switchFormStudioSheet; bumped script cache version to v=5.48."
"REV-047","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","100% Google Sheets Bottom Sheet Tab Bar Replication","Replicate client's authentic shop operations spreadsheet bottom tab bar: plus button, all sheets hamburger menu with popover, vertical separator, 12 authentic shop sheets (Job_Order, Sheet2, Sheet1, QUOTE, BILLING [active Google blue #e8f0fe], BILLING 2, CHECKLIST, CASH AD, OEF, Acknowledgement, LIQUIDATION, Daily Summary) with carets and horizontal scroll arrows.","Done","Pending","prototype_process","Antigravity QA","Replaced dark slate container with authentic Google Sheets bottom tab bar; wired allFormWorkbookSheets registry; built toggleAllSheetsMenu and handleCustomSheetClick; bumped script cache version to v=5.49."
"REV-048","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Purge Temporary Sheets (Sheet1, Sheet2, BILLING 2) from Workbook Bar","Remove temporary placeholder sheets Sheet1, Sheet2, and BILLING 2 per client instruction, keeping only the 9 authentic selected operational sheets (Job_Order, QUOTE, BILLING, CHECKLIST, CASH AD, OEF, Acknowledgement, LIQUIDATION, Daily Summary).","Done","Pending","prototype_process","Antigravity QA","Removed Sheet1, Sheet2, and BILLING 2 from index.html and allFormWorkbookSheets array; updated all-sheets dropdown counter to 9; bumped script cache version to v=5.50."
"REV-049","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Form 3/3 Billing Studio (35-Row Matrix & 12% BIR VAT Engine)","Implement Form 3/3 Official Billing & Cashier Invoice Studio replicating official physical document template; 35-row matrix with authentic 0.00 zero-suppression on empty rows; BIR 12% VAT engine; 1-click Copy from Quote import; 3-way shared customer & vehicle dossier sync across Forms 1, 2, and 3; isolated single-page iframe print engine; integrated into Google Sheets bottom workbook bar under BILLING tab.","Done","Pending","prototype_process","Antigravity QA","Built #view-sheet-billing with left SA smart editor and right 1:1 physical sheet; implemented 35-row matrix, 12% VAT calculations, copyQuoteToBilling, syncDossierToForm33, printForm33, and switchFormStudioSheet; bumped script cache version to v=5.51."
"REV-050","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Form 4 Multi-Point Vehicle Intake Inspection Checklist Studio (CHECKLIST RESULT)","Implement Form 4 Multi-Point Vehicle Intake Inspection Checklist Studio replicating the shop's physical inspection sheet; 3-tier rating engine (Green/Yellow/Red) with quick presets; 4 categories (Interior/Exterior, Battery Performance with ED-18 reference, Under Hood, Under Vehicle); Tire tread depth & inflation PSI inputs; Brake pad thickness & exemption toggle; Interactive 4-view vehicle damage diagram mapper; 1:1 physical sheet canvas; 4-way dossier sync with Form 1/3, 2/3, and 3/3; isolated single-page iframe print engine; integrated into Google Sheets bottom tab bar under CHECKLIST tab.","Done","Pending","prototype_process","Antigravity QA","Built #view-sheet-checklist split studio with smart editor and 1:1 physical canvas matching uploaded template; implemented 3-tier rating toggles, damage pin mapper, tire/brake matrix, syncDossierToChecklist, printChecklist, and switchFormStudioSheet; bumped script cache version to v=5.52."
"REV-051","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Form 5 Cash Advance Voucher & Ledger Studio (CASH ADVANCE)","Implement Form 5 Cash Advance Voucher & Ledger Studio replicating official physical document template; 30-row ledger matrix with subheaders (CASH ISSUED: Date, By; AMOUNT: Rec'd, Carried Over, Total; Expenses Incurred; Balance/Cash On Hand; Remarks); running cumulative balance engine; Page 2 auditing reminders box; signatory matrix (Received By, Issued By, Approved/Audited By); isolated single-page A4 print engine; integrated into Google Sheets bottom workbook bar under CASH AD tab.","Done","Pending","prototype_process","Antigravity QA","Built #view-sheet-cashad split studio with smart voucher editor and 1:1 physical ledger canvas; implemented cumulative running balance calculations, loadSampleCashAdvance, resetCashAdvanceForm, printCashAdvance, and switchFormStudioSheet; bumped script cache version to v=5.53."
"REV-052","2026-09-10","HonTech QA & Capstone Team","Service Advisor, Admin, Owner","Main Content DOM Hierarchy Repair & Multi-Sheet Custom Studio Engine (OEF, Acknowledgement, LIQUIDATION, Daily Summary)","Repair unclosed div hierarchy in section-form13 preventing subsequent sections (section-intake through section-support) from being ejected from #main-content into BODY; build universal interactive Custom Sheet Studio & 1:1 physical sheet document canvas for remaining Google Sheets tabs (OEF, Acknowledgement, LIQUIDATION, Daily Summary); wire CASH AD to switchFormStudioSheet; enable dynamic row additions, sample loading, inline cell edits, real-time KPI calculations, and single-page A4 print engine.","Done","Pending","prototype_process","Antigravity QA","Restored strict DOM balance (opens=closes) across all 11 navigation modules in #main-content; created #view-sheet-custom with left editor pane and right 1:1 physical document canvas; implemented customSheetDataStore with tailored schemas and realistic records for OEF, Acknowledgement, LIQUIDATION, and Daily Summary; updated handleCustomSheetClick, renderCustomSheet, syncCustomSheetCanvas, handleCustomSheetRowInput, addCustomSheetRow, removeCustomSheetRow, loadCustomSheetSample, and printCustomSheet; bumped script cache version to v=5.54."
"REV-053","2026-09-14","HonTech QA & Capstone Team","Service Advisor, Assistant, Owner, Admin","Queue Calendar Date Filtering, Next-Day Auto-Reset & Historical Recall across 3 Tables","Model after prototype_skipped.html staff module to introduce calendar-based filtering across Online Booking Queue, Daily Intakes Master Queue, and Carry-Over Board; auto-clear previous day intake records when advancing to tomorrow; enable instant historical recall for past dates with diagnoses, arrival, and departure; preserve unresolved carry-over vehicles with All Active, Promised Date, and Intake Date modes.","Done","7e1c0b3","prototype_process","Antigravity QA","Added #online-date-filter, Intake Calendar Toolbar with day steppers and Show All Dates, and 3-mode Carry-Over filter toolbar; updated renderStaffTables with getJobDate normalization and date filtering; bumped script cache version to v=5.55."
"REV-054","2026-09-14","HonTech QA & Capstone Team","All Roles & Developer","Developer Testing Console Relocation to Ctrl+D Developer Toolbox & UI Redesign","Relocate Queue Date Time Machine simulation controls from permanent on-screen clutter in section-queue into the Ctrl+D Developer Toolbox modal; redesign modal UI with max-w-3xl, high-contrast steppers (-1 Day, Today, +1 Day, Jump Date), 1-click multi-day test dataset generator, purge tool, and live telemetry counter cards; add smart alert banner in section-queue that appears only during active simulation.","Done","2164b79","prototype_process","Antigravity QA","Integrated Queue Date Time Machine category into #dev-toolbox-modal (Ctrl+D); added #dev-sim-active-banner in section-queue; updated HontechDevDateSimulator and updateDevSimulationTelemetry; bumped script cache version to v=5.56."
"REV-055","2026-09-14","HonTech QA & Capstone Team","Development & Architecture","Google Auth, Supabase & Vercel Cloud Migration Documentation","Document organized cross-repository integration workflow and architectural rules for Google OAuth, Supabase database schemas, and Vercel serverless deployment aligned with CapstoneOfficial2_Part3_Hontech_Cloud_GoogleAuth_Production.","Done","2164b79","prototype_process","Antigravity QA","Authored comprehensive architectural guides and added .agents/skills/hontech-vercel-supabase/SKILL.md to standardize cloud deployment."
"REV-056","2026-09-14","HonTech QA & Capstone Team","Service Advisor, Assistant, Owner, Admin","Wireless Smart TV Monitor via Direct Link & PIN Authentication","Make TV Monitor accessible to actual Smart TVs wirelessly without HDMI cables; enable SA/Staff to activate/deactivate broadcast session from Staff TV Broadcast Hub modal; generate active link, 4-digit PIN, 1-click auto-login link (?pin=XXXX), and dynamic QR code; build standalone TV kiosk app (tv.html) with PIN lock screen, standby screen with auto-wakeup, and active 3-slide cinema monitor with live 6s data polling and voice audio alerts.","Done","a98bdfa","prototype_process","Antigravity QA","Created standalone kiosk app frontend/tv.html with on-screen numeric keypad and standby auto-polling; added TV routes in router.php; added backend/tv_session.json and REST endpoints GET /tv/session, POST /tv/session, POST /tv/verify-pin in backend/index.php; added Staff TV Broadcast Hub modal (#modal-tv-broadcast-hub) and HontechTVBroadcastManager in app.js; bumped cache version to v=5.57."
"REV-057","2026-09-14","HonTech QA & Capstone Team","All Roles (Owner, Admin, SA, Assistant)","TV Monitor Direct Launch & Control Hub Navigation Integration","Wire TV Monitor navigation buttons across all 4 roles to launch the new TV Monitor Launch & Control Hub modal (#modal-tv-broadcast-hub) with a clear two-path dependable flow: Option 1 (Direct 1-Click Launch on local PC/display kiosk) and Option 2 (Wireless Smart TV broadcast switch, URL, PIN, and QR code); add mode=tv query parameter redirect to tv.html; bump cache version to v=5.58.","Done","73ea7e6","prototype_process","Antigravity QA","Updated buildNavbar in app.js to include TV Monitor for Owner and Admin; updated launchTVMode to invoke openTVBroadcastHubModal; enhanced modal-tv-broadcast-hub layout in index.html with Option 1 Local Kiosk and Option 2 Smart TV Wireless; added launchDirectKiosk and viewInAppMonitor in HontechTVBroadcastManager; bumped script version to v=5.58."
"REV-058","2026-09-14","HonTech QA & Capstone Team","Service Advisor, Assistant, Owner, Admin","Staff TV Manual Activation & Password Revelation Flow","Refine TV Monitor flow to match physical workshop process: TV starts in Offline/Standby mode; staff clicks 'Make TV Live Now' on dashboard to generate active broadcast link and 4-digit security PIN; staff manually opens TV browser, navigates to link, and enters PIN via TV remote; added startLiveBroadcast, stopLiveBroadcast, and two-state view management (Offline vs Live) in HontechTVBroadcastManager; updated tv.html with auto-polling standby wakeup; updated ApiResponse badRequest helper; bumped cache version to v=5.60.","Done","8da9832","prototype_process","Antigravity QA","Implemented two-state UI (#tv-hub-state-offline and #tv-hub-state-live) in modal-tv-broadcast-hub; added startLiveBroadcast and stopLiveBroadcast in app.js; added standby polling in tv.html; ensured default session starts offline; bumped cache buster to v=5.60."
